순위,영화명,개봉일,매출액,관객수,스크린수,대표국적,국적,배급사
1,명량,41850 ,135762080310 ,17616299 ,1587 ,188729 ,한국,(주)씨제이이엔엠
2,극한직업,43488 ,139657105516 ,16266480 ,2003 ,292817 ,한국,(주)씨제이이엔엠
3,신과함께-죄와 벌,43089 ,115727528087 ,14414658 ,1912 ,214631 ,한국,롯데쇼핑㈜롯데엔터테인먼트
4,국제시장,41990 ,110955656230 ,14265780 ,1044 ,212721 ,한국,(주)씨제이이엔엠
5,어벤져스: 엔드게임,43579 ,122492181020 ,13977602 ,2835 ,246433 ,미국,월트디즈니컴퍼니코리아 유한책임회사
6,겨울왕국 2,43790 ,115033955041 ,13768797 ,2648 ,301536 ,미국,월트디즈니컴퍼니코리아 유한책임회사
7,베테랑,42221 ,105170856250 ,13414484 ,1115 ,199307 ,한국,(주)씨제이이엔엠
8,아바타,40164 ,125304346000 ,13338863 ,917 ,164457 ,미국,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)"
9,서울의 봄,45252 ,127926951712 ,13128080 ,2463 ,374533 ,한국,플러스엠 엔터테인먼트
10,도둑들,41115 ,93672497700 ,12984701 ,1091 ,155487 ,한국,(주)쇼박스
11,7번방의 선물,41297 ,91437620170 ,12812186 ,866 ,167014 ,한국,(주)넥스트엔터테인먼트월드(NEW)
12,알라딘,43608 ,109083614867 ,12800870 ,1409 ,284954 ,미국,월트디즈니컴퍼니코리아 유한책임회사
13,암살,42207 ,98472466681 ,12707330 ,1519 ,175332 ,한국,(주)쇼박스
14,범죄도시2,44699 ,131298796478 ,12693415 ,2521 ,355768 ,한국,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트"
15,"광해, 왕이 된 남자",41165 ,88913283469 ,12324062 ,1001 ,203464 ,한국,(주)씨제이이엔엠
16,신과함께-인과 연,43313 ,102689349539 ,12278010 ,2235 ,180750 ,한국,롯데컬처웍스(주)롯데엔터테인먼트
17,택시운전사,42949 ,95872359149 ,12189800 ,1906 ,184228 ,한국,(주)쇼박스
18,파묘,45344 ,115145269414 ,11913264 ,2367 ,364885 ,한국,(주)쇼박스
19,부산행,42571 ,93188170548 ,11567816 ,1788 ,151535 ,한국,(주)넥스트엔터테인먼트월드(NEW)
20,범죄도시4,45406 ,110035602595 ,11501226 ,2980 ,375293 ,한국,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트"
21,변호인,41626 ,82876713788 ,11375399 ,925 ,152290 ,한국,(주)넥스트엔터테인먼트월드(NEW)
22,해운대,40016 ,81028720000 ,11325117 ,764 ,154332 ,한국,CJ ENM
23,어벤져스: 인피니티 워,43215 ,100081428549 ,11233176 ,2553 ,243677 ,미국,월트디즈니컴퍼니코리아 유한책임회사
24,괴물,38925 ,66717700300 ,10917400 ,647 ,113105 ,한국,(주)쇼박스
25,아바타: 물의 길,44909 ,137647702899 ,10805065 ,2809 ,283037 ,미국,월트디즈니컴퍼니코리아 유한책임회사
26,범죄도시3,45077 ,104687737771 ,10682813 ,2582 ,311915 ,한국,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트"
27,변호인,41626 ,82871759300 ,11374610 ,923 ,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
28,실미도,37979 ,0 ,11081000 ,83 ,한국,한국,(주)시네마서비스
29,기생충,43615 ,87459829095 ,10313086 ,1948 ,한국,한국,(주)씨제이이엔엠
29,기생충,43615 ,87459829095 ,10313086 ,1948 ,한국,한국,(주)씨제이이엔엠
30,검사외전,42403 ,77319445264 ,9707158 ,1812 ,한국,한국,(주)쇼박스
31,엑시트,43677 ,79232212162 ,9426051 ,1660 ,한국,한국,(주)씨제이이엔엠
32,설국열차,41487 ,67010077500 ,9349991 ,1128 ,한국,"한국,체코",(주)씨제이이엔엠
33,관상,41528 ,66005451500 ,9134586 ,1190 ,한국,한국,(주)쇼박스
34,해적: 바다로 간 산적,41857 ,66370682706 ,8666046 ,838 ,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
35,수상한 그녀,41661 ,62696639249 ,8656397 ,692 ,한국,한국,(주)씨제이이엔엠
36,국가대표,40023 ,60896633308 ,8487894 ,580 ,한국,한국,(주)쇼박스
37,디워,39295 ,0 ,8426973 ,148 ,한국,한국,(주)쇼박스
38,백두산,43818 ,69825366300 ,8252669 ,1971 ,한국,한국,"(주)씨제이이엔엠,(주)덱스터스튜디오"
39,과속스캔들,39785 ,53940101534 ,8245523 ,405 ,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
40,웰컴 투 동막골,38568 ,0 ,8008622 ,114 ,한국,한국,(주)쇼박스
41,공조,42753 ,63781731326 ,7817446 ,976 ,한국,한국,(주)씨제이이엔엠
42,히말라야,42354 ,60173583015 ,7759473 ,1009 ,한국,한국,(주)씨제이이엔엠
43,밀정,42620 ,61269783831 ,7500420 ,1444 ,한국,"한국,미국",워너브러더스 코리아(주)
44,최종병기 활,40765 ,55827861500 ,7470633 ,615 ,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
45,써니,40667 ,54034235100 ,7362467 ,472 ,한국,한국,(주)씨제이이엔엠
46,화려한 휴가,39288 ,0 ,7307993 ,116 ,한국,한국,CJ ENM
47,한산: 용의 출현,44769 ,73700628377 ,7264934 ,2223 ,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
48,1987,43096 ,58165581145 ,7231638 ,1299 ,한국,한국,(주)씨제이이엔엠
49,베를린,41304 ,52354931637 ,7166199 ,894 ,한국,"한국,독일",(주)씨제이이엔엠
50,마스터,42725 ,58067927865 ,7150541 ,1501 ,한국,한국,(주)씨제이이엔엠
51,터널,42592 ,57529484417 ,7120508 ,1105 ,한국,한국,(주)쇼박스
52,내부자들,42327 ,56598130057 ,7072021 ,1075 ,한국,한국,(주)쇼박스
53,인천상륙작전,42578 ,55101410303 ,7049643 ,1049 ,한국,한국,(주)씨제이이엔엠
54,공조2: 인터내셔날,44811 ,70916352586 ,6982840 ,2389 ,한국,한국,(주)씨제이이엔엠
55,럭키,42656 ,56444461256 ,6975290 ,1158 ,한국,한국,(주)쇼박스
56,은밀하게 위대하게,41430 ,48700887413 ,6959083 ,1341 ,한국,한국,(주)쇼박스
57,곡성,42502 ,55863520382 ,6879908 ,1485 ,한국,"한국,미국",이십세기폭스코리아(주)
58,범죄도시,43011 ,56318014149 ,6879841 ,1315 ,한국,한국,"플러스엠 엔터테인먼트,(주)키위미디어그룹"
59,타짜,38988 ,0 ,6847777 ,147 ,한국,한국,CJ ENM
60,"좋은 놈, 나쁜 놈, 이상한 놈",39646 ,43768628939 ,6686912 ,825 ,한국,한국,CJ ENM
61,늑대소년,41213 ,46593107500 ,6654837 ,706 ,한국,한국,(주)씨제이이엔엠
62,미녀는 괴로워,39065 ,0 ,6619498 ,93 ,한국,한국,(주)쇼박스
63,군함도,42942 ,50510565168 ,6592151 ,2027 ,한국,한국,(주)씨제이이엔엠
